"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:TICKET_NOT_PERMIT","@Get a permit.","@Получите разрешение."
"traveler:TICKET_NOT_PERMIT","Bullshit!","Вот дерьмо!"
"traveler:TICKET_NOT_PERMIT","I paid good money for ticket.","С меня за пропуск кучу денег содрали."
"traveler:VISIT_SON","I am so happy that the border has opened.","Какое счастье, что границу снова открыли."
"traveler:VISIT_SON","I will visit my son. I have not seen him in six years. [Speech/Purpose]","Я приехала к своему сыну. Я его шесть лет не видела. [Speech/Purpose]"
"traveler:VISIT_SON","6 months. [Speech/Duration]","6 месяцев. [Speech/Duration]"
"traveler:VISIT_SON","Please, let me pass. My son is waiting.","Пожалуйста, пропустите меня. Меня сын ждет."
"traveler:VISIT_SON","Thank you.","Спасибо."
"traveler:VISIT_SON","Curse you.","Да будь ты проклят."
"traveler:DETAIN_FIRST","Hey wait.","Погодите!"
"traveler:DETAIN_FIRST","Do not arrest me, please.","Не надо меня забирать, пожалуйста."
"traveler:DETAIN_FIRST","Just deny my passport and I will go away.","Просто поставьте мне в паспорт отказ, и я уйду."
"traveler:HATE_COUNTRY","It is not my choice. I hate this damn country.","Я тут не по своей воле. Ненавижу эту мерзкую страну."
"traveler:HATE_COUNTRY","I am just passing through. [Speech/Purpose]","Я тут только транзитом. [Speech/Purpose]"
"traveler:HATE_COUNTRY","As little as possible. 2 days. [Speech/Duration]","Чем меньше, тем лучше. 2 дня. [Speech/Duration]"
"traveler:HATE_COUNTRY","Ugh.","Ох."
"traveler:HATE_COUNTRY","Just as well.","Ну и ладно."
"traveler:SEARCH_BRIBE_INTRO","Slow down my friend.","Спокойнее, друг."
"traveler:SEARCH_BRIBE_INTRO","I have only harmless medicine.","У меня тут безобидные лекарства."
"traveler:SEARCH_BRIBE_INTRO","I give you 10 credits to let me through.","Я дам тебе 10 кредитов, если пропустишь."
"traveler:SEARCH_BRIBE_INTRO","Excellent.","Отлично."
"traveler:SEARCH_BRIBE_INTRO","As I promised.","Как обещал."
"traveler:SEARCH_BRIBE_INTRO","Why you turn down good money?","Чего отказываешься, это хорошие деньги."
"traveler:SEARCH_BRIBE_INTRO","@You are lucky to escape arrest.","@Вам повезло, что вас не арестовали."
"traveler:SEARCH_BRIBE_INTRO","@Do not come back.","@Чтобы я вас больше не видел."
"traveler:SEARCH_BRIBE_INTRO","@You cannot bribe an officer of Arstotzka.","@Тицкого чиновника подкупить нельзя."
"traveler:SEARCH_BRIBE_INTRO","They must pay well for such obedience, dog.","Тебе, наверное, хорошо платят за такую покорность, пёс."
"traveler:TWO_PASSPORTS","Shit!","Вот дерьмо!"
"traveler:TWO_PASSPORTS","I make small mistake.","Ошибся немного."
"traveler:TWO_PASSPORTS","Please give documents back.","Пожалуйста, верните мне документы."
"traveler:TWO_PASSPORTS","@Why do you have two passports?","@Почему у вас два паспорта?"
"traveler:TWO_PASSPORTS","Is funny story.","Это долгая история."
"traveler:TWO_PASSPORTS","I tell you everything.","Я вам все расскажу."
"traveler:TWO_PASSPORTS","First, you give papers back to me.","Только сначала верните документы."
"traveler:TWO_PASSPORTS","And the others?","А остальные?"
"traveler:TWO_PASSPORTS","Last one please.","И последний, пожалуйста."
"traveler:IDSUPPLEMENT_COMPLAIN","This id supplement is total pain.","Эти ""внешние даные"" - полный кошмар."
"traveler:IDSUPPLEMENT_COMPLAIN","Was not easy to get and only lasts few days.","Получить трудно, а действует всего несколько дней."
"traveler:IDSUPPLEMENT_COMPLAIN","You Arstotzkans just make it harder and harder.","Вы тут, в Тицкой Федерации, все усложняете и усложняете."
"traveler:IDSUPPLEMENT_COMPLAIN","Why even have open border?","Зачем было вообще границу открывать?"
"traveler:IDSUPPLEMENT_COMPLAIN","Bah.","Тьфу."
"traveler:IDSUPPLEMENT_COMPLAIN","Would be better to spend money on bribe.","Лучше было деньги на взятку потратить."
"traveler:IDSUPPLEMENT_COMPLAIN","Less trouble and faster.","И проще, и быстрей."
"traveler:IDSUPPLEMENT_COMPLAIN","I knew it would not even work.","Ясно было, что ничего не получится."
"traveler:CRIMINAL_FIRST","@Funny to see you here.","@Не ожидал вас здесь увидеть."
"traveler:CRIMINAL_FIRST","@Just when starting to look for criminals.","@И как раз тогда, когда мне велели ловить преступников."
"traveler:CRIMINAL_FIRST","Criminals?","Преступников?"
"traveler:CRIMINAL_FIRST","What are you saying?","Вы это про что?"
"traveler:DENIAL_REASON_FIRST","Denied?","Отказ?"
"traveler:DENIAL_REASON_FIRST","For what reason?","По какой причине?"
"traveler:DENIAL_REASON_FIRST","@It is clearly stamped there.","@Здесь ясно указано."
"traveler:DENIAL_REASON_FIRST","Oh.~","Ой.~"
"traveler:DENIAL_REASON_FIRST","Screw you anyways.","Все равно, черт бы вас побрал."
"traveler:NO_IMPORIANS_FIRST","@Imporians are prohibited from entering.","@Гражданам Инсектериала въезд запрещен."
"traveler:NO_IMPORIANS_DAY","@Imporians are prohibited from entering.","@Гражданам Инсектериала въезд запрещен."
"traveler:NO_UNITEDFED_FIRST","@Do not bring your sickness to Arstotzka.","@Не надо тащить свои болячки в Тицкую Федерацию."
"traveler:NO_UNITEDFED_FIRST","What?","Чего?"
"traveler:NO_UNITEDFED_FIRST","I am perfectly healthy.","Да у меня идеальное здоровье."
"traveler:NO_UNITEDFED_FIRST","It is so easy to deny entry.","Конечно, запретить въезд - это просто."
"traveler:NO_UNITEDFED_FIRST","All this paperwork is wasted.","Только документы зря собирали."
"traveler:NO_UNITEDFED","@Do not bring your sickness to Arstotzka.","@Не надо тащить свои болячки в Тицкую Федерацию."
"traveler:NO_UNITEDFED","What?","Чего?"
"traveler:NO_UNITEDFED","I am perfectly healthy.","Да у меня идеальное здоровье."
"traveler:NO_UNITEDFED","It is so easy to deny entry.","Конечно, запретить въезд - это просто."
"traveler:NO_UNITEDFED","All this paperwork is wasted.","Только документы зря собирали."
"traveler:CONFISCATION_DISTRICT_FIRST","Thank you. It is good to be back home.","Спасибо. Так хочется домой!"
"traveler:CONFISCATION_DISTRICT_FIRST","I am leaving for trip soon so I just need my passport back.","Я скоро уезжаю в командировку, так что верните мне паспорт."
"traveler:CONFISCATION_DISTRICT_FIRST","@It is being confiscated.","@Он конфискован."
"traveler:CONFISCATION_DISTRICT_FIRST","What do you mean?","Что вы хотите сказать?"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip for recovery.","@Если хотите, чтобы его вернули, позвоните по номеру на справке."
"traveler:CONFISCATION_DISTRICT_FIRST","You can just hand it back.","А почему вам просто мне его не отдать?"
"traveler:CONFISCATION_DISTRICT_FIRST","@It has been filed. I cannot give it back.","@Он уже в списках. Я не могу его вернуть."
"traveler:CONFISCATION_DISTRICT_FIRST","I am not leaving without passport.","Я без паспорта не уйду."
"traveler:CONFISCATION_DISTRICT_FIRST","Where is my passport?","Где мой паспорт?"
"traveler:CONFISCATION_DISTRICT_FIRST","You deny entry and take passport?","Вы отказываете во въезде и паспорт отобрали?"
"traveler:CONFISCATION_DISTRICT_FIRST","What am I supposed to do?","Что мне теперь делать?"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip.","@Позвоните по номеру на справке."
"traveler:CONFISCATION_DISTRICT_FIRST","You cannot do this to me!","Вы не можете так со мной поступить!"
"traveler:CONFISCATION_DISTRICT_FIRST","I am Arstotzkan citizen.","У меня гражданство Тицкой Федерации."
"traveler:CONFISCATION_DISTRICT_FIRST","I have right to travel freely.","Я имею право на свободу передвижения."
"traveler:WHISTLEBLOWER","Thank you.","Спасибо."
"traveler:WHISTLEBLOWER","I hope that things are better here.","Надеюсь, здесь дела обстоят получше."
"traveler:WHISTLEBLOWER","What? I was promised asylum here.","Что? Мне обещали убежище!"
"traveler:WHISTLEBLOWER","I have nowhere else to go.","Мне больше некуда идти."
"traveler:WHISTLEBLOWER","@This is not my problem.","@Это не моя проблема."
"traveler:ACCESSPERMIT_FIRST","You Arstotzkans keep changing rules here.","Вы тут в Тицкой Федрации все время меняете правила."
"traveler:ACCESSPERMIT_FIRST","My sister came through last week with different documents.","Мою сестру на прошлой неделе пустили по другим документам."
"traveler:ACCESSPERMIT_FIRST","Now I need new access permit.","А теперь мне нужно новое право на въезд."
"traveler:ACCESSPERMIT_FIRST","Costs twice as much as before.","Оно уже стоит в два раза дороже."
"traveler:ACCESSPERMIT_WRONG","What the hell is access permit?","Это что еще за хрень такая - ""право на въезд""?"
"traveler:ACCESSPERMIT_WRONG","Do you mean entry permit?","Вы про ""разрешение на въезд""?"
"traveler:ACCESSPERMIT_WRONG","I have it there.","Вот."
"traveler:ACCESSPERMIT_WRONG","@I mean access permit.","@Я говорю про право на въезд."
"traveler:ACCESSPERMIT_WRONG","Never heard of it. Sounds stupid.","Не [m]слышал[/m][f]слышала[/f] про такое. Глупость какая-то."
"traveler:ACCESSPERMIT_WRONG","@Entry permit and supplement are no longer accepted.","@Разрешение на въезд и описание внешних данных больше не принимаются."
"traveler:ACCESSPERMIT_WRONG","@Access permit replaces them.","@Вместо них - право на въезд."
"traveler:ACCESSPERMIT_WRONG","@Makes my job easier.","@Мне так работать проще"
"traveler:ACCESSPERMIT_WRONG","I do not care about your job.","Мне плевать, как вам тут работается."
"traveler:ACCESSPERMIT_WRONG","Damnit.","Черт бы вас побрал."
"traveler:STRICT_BORDER","I've heard this is very strict checkpoint.","Говорят, на этом пункте правила очень строгие."
"traveler:STRICT_BORDER","I am glad my papers are in order.","Хорошо, что у меня бумаги в порядке."
"traveler:DESPERATE_BEFORECLOSE","I have heard the border will close.","Говорят, что границу скоро закроют."
"traveler:DESPERATE_BEFORECLOSE","My access permit will not arrive in time.","Мне не успеют сделать визу на въезд."
"traveler:DESPERATE_BEFORECLOSE","Please have mercy.","Пожалуйста, проявите милосердие."
"traveler:DESPERATE_BEFORECLOSE","Yes I know. I just told you that.","Я знаю. Вы только что это от меня услышали."
"traveler:DESPERATE_BEFORECLOSE","I am afraid the border will close before I can enter.","Я боюсь, что границу закроют, а я не успею въехать."
"traveler:WALLCOMMENT_PLAQUEONE","What is this plaque on the wall?","Что это за грамота на стене?"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for presence?","Вас отметили за усердие?"
"traveler:WALLCOMMENT_PLAQUEONE","Way to go.","Ну-ну."
"traveler:WALLCOMMENT_PLAQUEONE","What is this on the wall?","Что это на стене?"
"traveler:WALLCOMMENT_PLAQUEONE","Recognized for sufficience?","Отметили за эффективную работу?"
"traveler:WALLCOMMENT_PLAQUEONE","Impressive. Why even bother with plaque?","Впечатляет. На стену повесили, не удержались?"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for excellence?","Отметили за отличную работу?"
"traveler:WALLCOMMENT_PLAQUEONE","I hope they give you raise and not just plaque.","Надеюсь, вам кроме грамоты, еще и зарплату повысят."
"traveler:WALLCOMMENT_PLAQUEONE","Find a better plaque.","Найдите себе рамочку получше."
"traveler:WALLCOMMENT_PLAQUEONE","This one looks like cheap shit.","Эта - дешевое дерьмо."
"traveler:WALLCOMMENT_PLAQUEONE","Figures.","Все сходится."
"traveler:WALLCOMMENT_PLAQUEONE","You are like this plaque.","Ты сам - как эта грамота."
"traveler:WALLCOMMENT_PLAQUEONE","Cheap shit.","Дешевое дерьмо."
"traveler:WALLCOMMENT_PLAQUEONE","What the hell?","Какого черта?"
"traveler:WALLCOMMENT_ARSKICKER","Nice banner!","Красивый вымпел!"
"traveler:WALLCOMMENT_ARSKICKER","I remember that game.","Помню этот матч."
"traveler:WALLCOMMENT_ARSKICKER","Intense.","Жестко играли."
"traveler:WALLCOMMENT_ARSKICKER","Go Arskickers!","Тицтигры, вперед!"
"traveler:WALLCOMMENT_ARSKICKER","What the hell?","Какого черта?"
"traveler:WALLCOMMENT_ARSKICKER","I thought we have Arskickers connection.","Я [m]думал[/m][f]думала[/f], мы оба за Дьяволов болеем."
"traveler:WALLCOMMENT_SONDRAWING","What is this drawing on the wall?","Что это за картинка на стене?"
"traveler:WALLCOMMENT_SONDRAWING","My dog can do better.","У меня собака лучше нарисует."
"traveler:WALLCOMMENT_SONDRAWING","@It is from my son.","@Это мне сын подарил."
"traveler:WALLCOMMENT_SONDRAWING","Oh.~","А!~"
"traveler:WALLCOMMENT_SONDRAWING","Maybe he should try sports.","Может, ему лучше спортом заняться?"
"traveler:WALLCOMMENT_SONDRAWING","Thanks.","Спасибо."
"traveler:WALLCOMMENT_SONDRAWING","The drawing is not so bad really.","Картинка на самом деле ничего."
"traveler:WALLCOMMENT_SONDRAWING","I was just in rough mood. Sorry.","У меня просто настроение дурацкое. Извините."
"traveler:WALLCOMMENT_SONDRAWING","Huh?","Что?"
"traveler:WALLCOMMENT_SONDRAWING","You deny me for comment about drawing, right?","Вы мне отказали из-за того, что я про рисунок [m]сказал[/m][f]сказала[/f], правда?"
"traveler:WALLCOMMENT_SONDRAWING","@The exit is to your right.","@Выход справа."
"traveler:WALLCOMMENT_SONDRAWING","What are you doing?","Вы что такое делаете?"
"traveler:WALLCOMMENT_SONDRAWING","Is this because I make fun of drawing?","Это потому, что я над рисунком [m]посмеялся[/m][f]посмеялась[/f]?"
"traveler:WALLCOMMENT_SONDRAWING","I take it back!","Беру свои слова назад!"
"traveler:WALLCOMMENT_SONDRAWING","Picture should be in museum!","Этой картине место в музее!"
"traveler:WALLCOMMENT_FAMILYPHOTO","I like picture on wall here.","Мне нравится картинка на стене."
"traveler:WALLCOMMENT_FAMILYPHOTO","Reminds me of how my family was.","Сразу напомнила мне о моей семье."
"traveler:WALLCOMMENT_FAMILYPHOTO","Thank you.","Спасибо."
"traveler:WALLCOMMENT_FAMILYPHOTO","Take care of your family.","Берегите свою семью."
"traveler:WALLCOMMENT_FAMILYPHOTO","It is too easy to lose them.","Ее очень легко потерять."
"speech:ask-purpose","What is the purpose of your trip?","Какова цель вашей поездки?"
"speech:state-purpose","Visiting.","В гости."
"speech:state-purpose","Just visiting.","Просто в гости."
"speech:state-purpose","I am visiting relatives.","Я хочу навестить родственников."
"speech:state-purpose","Visiting friends.","Я хочу навестить друзей."
"speech:state-purpose","I come for visit.","Пригласили в гости."
"speech:state-purpose","Only to visit.","В гости, это всё."
"speech:state-purpose","I will visit friends.","Я хочу навестить друзей."
"speech:state-purpose","Transit.","Транзитом."
"speech:state-purpose","I pass through.","Я здесь просто транзитом."
"speech:state-purpose","Transit through the country.","Мне надо проехать через вашу страну транзитом."
"speech:state-purpose","I am transiting to elsewhere.","Я тут транзитом, еду в другое место."
"speech:state-purpose","Transit through Arstotzka.","Я в Тицкую Федерацию транзитом."
"speech:state-purpose","Passing through.","Я здесь транзитом."
"speech:state-purpose","I am in transit.","Транзит."
"speech:state-purpose","Work.","Работа."
"speech:state-purpose","I come to work.","Я буду здесь работать."
"speech:state-purpose","I have job here.","Мне дали здесь работу."
"speech:state-purpose","I plan to work.","Я собираюсь здесь работать."
"speech:state-purpose","Immigrating.","ПМЖ."
"speech:state-purpose","I am immigrating to Arstotzka.","Я переезжаю в Тицкую Федерацию на ПМЖ"
"speech:state-purpose","I will move here.","Я сюда переезжаю навсегда."
"speech:state-purpose","I am coming to live with my husband.","Я буду жить здесь со своим мужем."
"speech:state-purpose","I am coming to live with my wife.","Я приехал, чтобы жить здесь со своей женой."
"speech:state-purpose","I am diplomatic envoy.","Я - дипломатический представитель."
"speech:state-purpose","I was called to diplomatic discussions.","Меня пригласили на международные переговоры."
"speech:state-purpose","My presence was requested.","Меня пригласили официально."
"speech:state-purpose","I am seeking asylum.","Я прошу убежища."
"speech:state-purpose","I come for political asylum.","Мне дают политическое убежище."
"speech:state-purpose","Asylum.","Я беженец."
"speech:ask-wrong-purpose","This entry permit is for work.","Этот документ не дает разрешения на работу."
"speech:ask-wrong-purpose","You are authorized for transit only.","Вам разрешен только транзит."
"speech:ask-wrong-purpose","You have only a visitors entry permit.","Вам разрешен только гостевой въезд."
"speech:ask-wrong-purpose","This entry permit is for immigrating.","Здесь разрешен въезд на ПМЖ."
"speech:ask-wrong-purpose","Your entry purpose does not match up.","Вы неправильно назвали цель поездки."
"speech:ask-wrong-purpose","This entry permit purpose does not match.","В документах указана другая цель поездки."
"speech:mistake-prefix","Right.","Верно."
"speech:mistake-prefix","I make mistake.","Ну, ошибка вышла."
"speech:mistake-prefix","Yes, of course.","Да, конечно."
"speech:mistake-prefix","Apologies.","Простите."
"speech:wrong-purpose","$mistake-prefix I am just visiting.","$mistake-prefix Я просто в гости."
"speech:wrong-purpose","$mistake-prefix I just pass through.","$mistake-prefix Я тут транзитом."
"speech:wrong-purpose","$mistake-prefix I have come to work.","$mistake-prefix Я буду здесь работать."
"speech:wrong-purpose","$mistake-prefix I move here permanently.","$mistake-prefix Я переезжаю сюда на постоянное жительство."
"speech:ask-duration","Duration of stay?","Продолжительность визита?"
"speech:random-stay","I stay","Я думаю,"
"speech:random-stay","I remain for","Я тут останусь на"
"speech:random-stay","It will be","На"
"speech:state-duration","$random-stay forever.","$random-stay постоянное жительство."
"speech:state-duration","$random-stay until I die.","$random-stay веки вечные."
"speech:state-duration","I don't plan to leave.","Я не собираюсь отсюда уезжать."
"speech:state-duration","$random-stay just 2 days.","$random-stay 2 дня."
"speech:state-duration","$random-stay couple days.","$random-stay пару дней."
"speech:state-duration","$random-stay just 14 days.","$random-stay 14 дней."
"speech:state-duration","$random-stay couple weeks.","$random-stay пару недель."
"speech:state-duration","$random-stay only two weeks.","$random-stay пару недель, не больше."
"speech:state-duration","$random-stay 30 days.","$random-stay 30 дней."
"speech:state-duration","$random-stay a few weeks.","$random-stay месяц-другой."
"speech:state-duration","$random-stay one month.","$random-stay один месяц."
"speech:state-duration","$random-stay 60 days.","$random-stay 60 дней."
"speech:state-duration","$random-stay 8 weeks.","$random-stay 8 недель."
"speech:state-duration","$random-stay couple months.","$random-stay пару месяцев."
"speech:state-duration","$random-stay two months.","$random-stay два месяца."
"speech:state-duration","$random-stay 90 days.","$random-stay 90 дней."
"speech:state-duration","$random-stay 12 weeks.","$random-stay 12 недель."
"speech:state-duration","$random-stay three months.","$random-stay три месяца."
"speech:state-duration","$random-stay a few months.","$random-stay несколько месяцев."
"speech:state-duration","$random-stay six months.","$random-stay шесть месяцев."
"speech:state-duration","$random-stay half a year.","$random-stay полгода."
"speech:state-duration","$random-stay one year.","$random-stay один год."
"speech:state-duration","$random-stay full year.","$random-stay целый год."
"speech:state-duration","$random-stay a year.","$random-stay год."
"speech:ask-wrong-duration","The length of your stay is different.","Здесь указана другая длительность поездки."
"speech:wrong-duration","$mistake-prefix $state-duration","$mistake-prefix $state-duration"
"speech:ask-forgery-missing","This document is missing its seal.","На документе нет печати."
"speech:ask-forgery-missing","There is no seal here.","Здесь нет печати."
"speech:ask-forgery-missing","I do not see the required seal here.","Я не вижу здесь необходимой печати."
"speech:ask-forgery-wrong","This document is forged.","Этот документ - подделка."
"speech:ask-forgery-wrong","This is a forgery.","Это подделка."
"speech:ask-forgery-idcard","This card contains false information.","В этой карте указана ложная информация."
"speech:ask-forgery-diplo","This seal is forged.","Печать подделана."
"speech:ask-forgery-diplo","This seal is not correct.","Это не та печать."
"speech:ask-forgery-asylumgrant","This seal is forged.","Печать подделана."
"speech:ask-forgery-asylumgrant","This grant is not sealed properly.","На документе отсутствует необходимая печать."
"speech:ask-wrong-birthdate","These dates do not match.","Тут даты не совпадают."
"speech:forgery","I have no idea what you are talking about.","Я понятия не имею, о чем вы говорите."
"speech:forgery","I do not know anything about that.","Я об этом ничего не знаю."
"speech:forgery","I do not understand.","Я не понимаю."
"speech:ask-expired-paper","This document has expired.","Срок действия этого документа истек."
"speech:ask-expired-paper","You cannot enter using an expired document.","Нельзя въезжать по документам с истекшим сроком."
"speech:expired-permit","I could not come until now.","У меня не получилось приехать раньше."
"speech:expired-permit","I was busy.","У меня были дела."
"speech:expired-passport","What? That is mistake. I just renewed it.","Что? Не может быть! Мне его только что продлили."
"speech:expired-passport","That must be a typographical error.","Тут, наверное, опечатка."
"speech:expired-asylumgrant","There was nothing I could do.","Тут ничего нельзя было сделать."
"speech:expired-asylumgrant","My travel was difficult.","Сюда было очень трудно добраться."
"speech:expired-asylumgrant","Please, have mercy.","Пощадите меня!"
"speech:ask-missing-passport","Where is passport?","Где паспорт?"
"speech:ask-missing-passport","A passport is required.","Без паспорта нельзя."
"speech:missing-passport","They took away my passport.","У меня отобрали паспорт."
"speech:missing-passport","What is passport?","А что такое паспорт?"
"speech:ask-missing-entrypermit","Where is the entry permit?","Где разрешение на въезд?"
"speech:ask-missing-entrypermit","You have no entry permit.","Не вижу разрешения на въезд."
"speech:ask-missing-entrypermit","The entry permit is missing.","Разрешения на въезд нет."
"speech:missing-permit","I was not able to get one.","Мне его не дали."
"speech:missing-permit","What is that?","А что это?"
"speech:missing-permit","Do I need one?","Мне такое нужно?"
"speech:missing-permit","Is required?","Необходимо?"
"speech:missing-permit","I lost it.","Потерялось."
"speech:missing-permit","I did not know it was required.","Мне не сказали, что оно потребуется."
"speech:ask-missing-workpermit","Where is the work pass?","Где разрешение на работу?"
"speech:ask-missing-workpermit","You have no work pass.","У вас нет разрешения на работу."
"speech:ask-missing-workpermit","The work pass is missing.","Разрешение на работу отсутствует."
"speech:missing-workpermit","I will get one after I enter.","Как въеду, сразу получу."
"speech:ask-missing-idcard","Where is your id card?","Где ваша личная карта?"
"speech:ask-missing-idcard","I need your id card.","Мне нужна ваша личная карта."
"speech:missing-idcard","I never got one.","У меня такого и не было никогда."
"speech:missing-idcard","I left before they were issued.","Их ввели  уже после моего отъезда."
"speech:missing-idcard","I lost it.","Потерялась."
"speech:ask-missing-idsupplement","You must carry an id supplement.","Вы должны иметь при себе описание внешности."
"speech:ask-missing-idsupplement","Where is your id supplement?","Где описание внешности?"
"speech:missing-idsupplement","I never got one.","У меня его никогда не было."
"speech:missing-idsupplement","What is a supplement?","Что такое описание внешности?"
"speech:missing-idsupplement","This was not provided to me.","Мне такого не выдавали."
"speech:ask-missing-asylumgrant","You have no grant for asylum.","У вас нет документа о предоставлении убежища."
"speech:ask-missing-asylumgrant","Where is your asylum grant?","Где ваш документ о предоставлении убежища?"
"speech:missing-asylumgrant","I could not secure one in time.","У меня не получилось его воворемя достать."
"speech:missing-asylumgrant","I have none.","У меня нету."
"speech:missing-asylumgrant","What is that?","А что это?"
"speech:ask-missing-accesspermit","Where is the access permit?","Где право на въезд?"
"speech:ask-missing-accesspermit","You have no access permit.","У вас нет права на въезд."
"speech:ask-missing-accesspermit","The access permit is missing.","Не вижу права на въезд."
"speech:ask-wrong-name","These names do not match.","Имена не совпадают."
"speech:wrong-name","I have two different names.","У меня два разных имени."
"speech:wrong-name","I have multiple names.","У меня несколько разных имен."
"speech:wrong-name","My name was changed recently.","У меня имя недавно изменилось."
"speech:ask-wrong-workend","You are not authorized to work this long.","У вас нет разрешения на работу в течение такого долгого времени."
"speech:ask-wrong-workend","This work pass expires before your visit.","Это разрешение на работу истекло еще до вашего прибытия."
"speech:wrong-workend","I will renew the pass soon.","Я скоро обновлю разрешение."
"speech:wrong-workend","I am planning to renew it.","Я собираюсь его продлить."
"speech:wrong-workend","My entry permit is longer than I need.","У меня в разрешении срок указан больше, чем мне нужно."
"speech:ask-wrong-idnumber","These numbers do not match.","Эти номера не совпадают."
"speech:ask-wrong-idnumber","There is a discrepancy here.","Здесь несоответствие."
"speech:ask-wrong-idnumber","There are two different numbers here.","Тут два разных номера."
"speech:wrong-idnumber","It must be a mistake. The document is valid.","Это какая-то ошибка. Документ нормальный."
"speech:wrong-idnumber","Check again.","Проверьте еще раз."
"speech:ask-wrong-face","This does not look like you.","Это явно не вы."
"speech:ask-wrong-face","Your picture. It is different.","Фотография. На ней не вы."
"speech:ask-wrong-face","Your appearance has changed.","У вас внешность изменилась."
"speech:wrong-face","It is an old picture.","Это старое фото."
"speech:wrong-face","I had surgery.","У меня была пластическая операция."
"speech:wrong-face","The years have been cruel.","Годы меня не пощадили."
"speech:wrong-face","I do not know what to say. It is me.","Даже не знаю, что сказать. Это я."
"speech:ask-wrong-issuingcity","This issuing city is incorrect.","Город выдачи указан неправильно."
"speech:ask-wrong-issuingcity","Your passport has false information.","В вашем паспорте - ложная информация."
"speech:ask-wrong-gender","You are a man?","Вы мужчина?"
"speech:ask-wrong-gender","It says here that you are male.","Тут написано, что вы мужчина."
"speech:ask-wrong-gender","You are a woman?","Вы женщина?"
"speech:ask-wrong-gender","Your passport says you are female.","У вас в паспорте написано, что вы женщина."
"speech:ask-wrong-gender","Are you a woman or a man?","Так вы женщина или мужчина?"
"speech:ask-wrong-gender","You are male or female?","Вы женщина или мужчина?"
"speech:wrong-gender","The passport is correct.","В паспорте все правильно."
"speech:wrong-gender","Why do you ask?","А почему вы спрашиваете?"
"speech:wrong-gender","As the document says.","Все как там написано."
"speech:wrong-gender","What is this question?","Что за вопрос?"
"speech:ask-wrong-gender-busted","There is a problem with your documentation.","У вас проблема с документами."
"speech:ask-approved","Glory to Arstotzka.","Слава Тицкой Федерации!"
"speech:ask-approved","Cause no trouble.","Это было просто."
"speech:ask-nativesonly","Try again.","Попробуйте еще раз."
"speech:ask-nativesonly","Arstotzkans only.","Только граждане Тицкой Федерации."
"speech:ask-wrong-nation","No entry from Obristan.","Въезд из Пивовск запрещен."
"speech:ask-wrong-nation","No entry from Kolechia.","Въезд из Эндерония запрещен."
"speech:ask-wrong-nation","No entry from United Federation.","Въезд из Микхаилии запрещен."
"speech:ask-wrong-nation","No entry from Antegria.","Въезд из Зумернации запрещен."
"speech:ask-wrong-nation","No entry from Republia.","Въезд из Вил-ланда запрещен."
"speech:ask-wrong-nation","No entry from Arstotzka.","Въезд из Тицкой Федерации запрещен."
"speech:ask-wrong-nation","No entry from Impor.","Въезд из Инсектериала запрещен."
"speech:ask-search","Face the scanner.","Лицом к сканеру."
"speech:ask-search","Turn towards the scanner.","Повернитесь к сканеру."
"speech:ask-detain","Wait here.","Ждите."
"speech:ask-detain","One moment please.","Одну минуту, пожалуйста."
"speech:detain","What are you doing?","Что вы делаете?"
"speech:detain","What is happening?","Что происходит?"
"speech:detain","What is this?","Что случилось?"
"speech:detain","You cannot do this!","Не имееете права!"
"speech:detain","What will happen to me?","Что теперь со мной будет?"
"speech:detain","Who do you think you are?","Вы кем себя возомнили?"
"speech:detain","You have no authority for this!","У вас нет на это никакого права!"
"speech:detain","You are a fool!","Ты идиот!"
"speech:ask-search-enabled","You have been selected for a random search.","Вы выбраны для случайного досмотра."
"speech:ask-wrong-entryticket-date","This ticket is for another day.","Это пропуск на другой день."
"speech:ask-wrong-entryticket-date","You cannot enter today.","Сегодня я вас не пропущу."
"speech:ask-wrong-entryticket-date","The date on this ticket is wrong.","Дата на пропуске неверная."
"speech:wrong-entryticket-date","It is my mistake.","Да, это моя ошибка."
"speech:wrong-entryticket-date","Oh?","А?"
"speech:ask-missing-entryticket","You cannot enter without a ticket.","Без пропуска въехать нельзя."
"speech:ask-missing-entryticket","Foreigners must present an entry ticket.","Иностранные граждане должны предъявлять пропуск."
"speech:ask-missing-entryticket","Where is your entry ticket?","Где ваш пропуск?"
"speech:missing-entryticket","I do not know what that is.","Я не знаю, что это такое."
"speech:missing-entryticket","I have none.","У меня нету."
"speech:missing-entryticket","It was lost.","Потерялся."
"speech:ask-wrong-identity","I cannot verify your identity.","Я не могу подтвердить вашу личность."
"speech:ask-wrong-identity","Your identity does not match.","Личность не совпадает."
"speech:ask-wrong-alias","There is no record of this name.","Это имя нигде не записано."
"speech:ask-wrong-alias","I cannot verify your alias.","Я не могу подтвердить ваше второе имя."
"speech:ask-wrong-fingerprints","Your fingerprints do not match our records.","Ваши отпечатки не совпадают с нашей базой."
